CLIENT COORDINATES AND CENTROID NUMBER
x, y, centroid_no
344.108, 164.596, 4
341.586, 198.674, 4
337.45, 200.126, 4
354.468, 170.374, 4
333.674, 199.898, 4
327.03, 198.522, 4
356.884, 192.024, 4
328.526, 200.462, 4
320.498, 167.44, 4
324.162, 161.935, 4
325.561, 202.482, 4
356.514, 160.176, 4
368.777, 170.397, 4
349.595, 156.785, 4
371.208, 177.605, 4
374.529, 170.437, 4
372.515, 181.944, 4
376.011, 176.56, 4
358.235, 150.768, 4
373.732, 183.158, 4
378.389, 171.33, 4
371.115, 188.8, 4
307.903, 198.221, 4
302.476, 200.869, 4
313.52, 200.66, 4
314.01, 197.15, 4
315.169, 205.617, 4
308.015, 186.778, 4
292.878, 198.905, 4
322.363, 202.771, 4
291.265, 188.661, 4
287.001, 201.355, 4
320.774, 150.759, 4
307.307, 155.096, 4
339.821, 148.013, 4
302.416, 167.566, 4
213.808, 193.809, 5
292.461, 162.623, 4
289.281, 168.19, 4
285.855, 178.466, 4
283.138, 160.869, 4
314.105, 80.616, 2
299.52, 92.094, 2
307.654, 102.413, 2
339.951, 211.275, 4
341.177, 206.43, 4
221.21, 86.752, 2
228.487, 101.673, 2
218.757, 97.802, 2
219.98, 112.004, 2
220.67, 117.933, 2
212.233, 91.23, 2
236.115, 86.7, 2
354.403, 203.595, 4
346.554, 216.121, 4
239.934, 137.214, 2
240.446, 125.6, 2
221.044, 134.844, 2
258.155, 131.502, 2
281.164, 191.888, 4
268.292, 197.815, 4
277.765, 206.095, 4
264.186, 182.508, 4
297.671, 141.566, 4
358.644, 122.104, 4
356.076, 104.711, 4
335.441, 119.806, 4
254.753, 186.301, 4
358.296, 223.24, 4
371.864, 193.235, 4
371.023, 220.187, 4
322.946, 133.448, 4
316.965, 114.83, 4
381.167, 155.055, 4
267.985, 151.106, 2
377.359, 139.952, 4
289.021, 62.938, 2
310.227, 51.873, 2
274.458, 81.043, 2
273.984, 68.645, 2
275.436, 94.498, 2
254.767, 92.72, 2
288.868, 103.888, 2
278.35, 112.045, 2
278.78, 115.762, 2
266.65, 117.252, 2
274.704, 121.906, 2
269.457, 124.891, 2
286.533, 126.874, 2
255.841, 114.831, 2
270.343, 134.243, 2
376.855, 230.249, 4
298.463, 120.607, 2
